dataset_id,model_id,balance_accuracy
30,849, 0.303098137
23,1755, 0.663410663
8,795, 0.086868687
37,988, 0.25
45,1326, 0.20014832
13,922, 0.511353579
16,507, 0.333333333
33,1267, 0.126787261
22,543, 0.5
23,671, 0.700193325
63,672, 0.0895
3,897, 0.272383236
31,210, 0.278455798
41,1215, 0.2
14,377, 0.9835
23,353, 0.573260073
56,1350, 0.477
29,843, 0.246678823
23,537, 0.5
12,1813, 0.503
48,1296, 0.821860139
2,787, 0.223618409
55,149, 0.196665605
2,789, 0.199590164
29,838, 0.254155125
26,326, 0.46572104
69,106, 0.494960009
59,1551, 0.475433786
56,442, 0.5
12,1797, 0.442
41,1102, 0.167784158
31,804, 0.246366402
2,281, 0.193459416
65,1143, 0.511122998
27,467, 0.541304348
19,1137, 0.457856753
56,1032, 0.585
9,1632, 0.494601289
50,1335, 0.248
24,1671, 0.103604061
12,432, 0.3415
22,1750, 0.443098947
27,419, 0.5
45,1741, 0.25
56,446, 0.449
21,477, 0.362991577
7,262, 0.5015
34,174, 0.492478744
6,1766, 0.499718151
53,1553, 0.514726442
9,1347, 0.5
69,441, 0.5
56,1815, 0.6845
3,1155, 0.136599013
14,1809, 0.4675
34,1272, 0.508175278
8,886, 0.08030303
49,1299, 0.305170513
31,829, 0.185897301
71,1453, 0.192153702
55,1870, 0.205462948
34,748, 0.490516678
9,1353, 0.481885567
43,170, 0.18927136
11,368, 0.5
30,838, 0.251896813
45,1204, 0.192761953
33,154, 0.3899739
45,1220, 0.165627318
56,1043, 0.5345
56,1640, 0.558
6,348, 0.499718151
22,365, 0.5
3,167, 0.445943996
31,837, 0.254941597
